# Generated from Météo-France radar-tables-decodage-20250515.zip
# code|abbreviation|type|name|unit|scale|reference|width|crex_unit|crex_scale|crex_width
020202|meteoFranceLocal020202|table|ESTIMATION DU RISQUE D'AVALANCHE|Code table|0|0|4|NA|0|0
020203|meteoFranceLocal020203|table|TYPE DES GRAINS DE SURFACE PREDOMINANT DANS LA COUCHE|Code table|0|0|4|NA|0|0
020204|meteoFranceLocal020204|table|TYPE DES GRAINS DE SURFACE LES  PLUS NOMBREUX APRES LES GRAINS  PREDOMINANTS|Code table|0|0|4|NA|0|0
020205|meteoFranceLocal020205|double|DIAMETRE MOYEN DES GRAINS|M|4|0|7|NA|0|0
020206|meteoFranceLocal020206|table|INDICATEUR D'HOMOGENEITE DE LA  COUCHE|Code table|0|0|2|NA|0|0
021192|meteoFranceLocal021192|double|REFLECTIVITE MINIMALE POUR LA VALEUR DU PIXEL|dB|1|0|16|NA|0|0
021193|meteoFranceLocal021193|double|REFLECTIVITE MAXIMALE POUR LA VALEUR DU PIXEL|dB|1|0|16|NA|0|0
021194|meteoFranceLocal021194|double|REFLECTIVITE THEORIQUE|dB|1|0|16|NA|0|0
021195|meteoFranceLocal021195|double|REFLECTIVITE MESUREE|dB|1|0|16|NA|0|0
021196|meteoFranceLocal021196|flag|UWA PRODUCT CONFIDENCE|Flag table|0|0|12|NA|0|0
021197|meteoFranceLocal021197|flag|UWI PRODUCT CONFIDENCE|Flag table|0|0|12|NA|0|0
021198|meteoFranceLocal021198|flag|URA PRODUCT CONFIDENCE|Flag table|0|0|8|NA|0|0
021199|meteoFranceLocal021199|flag|UAT QUALITY ANALYSIS TESTS|Flag table|0|0|7|NA|0|0
021201|meteoFranceLocal021201|long|PEAKINESS|Numeric|0|0|16|NA|0|0
021202|meteoFranceLocal021202|flag|ALTIMETER CALIBRATION STATUS|Flag table|0|0|4|NA|0|0
021203|meteoFranceLocal021203|flag|ALTIMETER INSTRUMENT MODE|Flag table|0|0|9|NA|0|0
021204|meteoFranceLocal021204|double|MULTI/SINGLE VIEW DIFFERENCE|K|2|-512|10|NA|0|0
021205|meteoFranceLocal021205|long|SPECTRAL INTENSITY|Numeric|0|0|8|NA|0|0
021206|meteoFranceLocal021206|table|REPRESENTATION OF INTENSITY|Code table|0|0|3|NA|0|0
021207|meteoFranceLocal021207|double|ALTITUDE CORRECTION (IONOSPHERE)|m|3|0|14|NA|0|0
021208|meteoFranceLocal021208|double|ALTITUDE CORRECTION (DRY TROPOSPHERE)|m|3|0|9|NA|0|0
021209|meteoFranceLocal021209|double|ALTITUDE CORRECTION (WET TROPOSPHERE)|m|3|2000|10|NA|0|0
021210|meteoFranceLocal021210|double|ALTITUDE CORRECTION (CALIBRATION CONSTANT)|m|3|0|11|NA|0|0
021211|meteoFranceLocal021211|double|OPEN LOOP CORRECTION (HTL)|m|3|0|10|NA|0|0
021212|meteoFranceLocal021212|double|OPEN LOOP CORRECTION (AGC)|dB|3|-3000|14|NA|0|0
021214|meteoFranceLocal021214|table|UAT QUALITY SUMMARY|Code table|0|0|3|NA|0|0
021215|meteoFranceLocal021215|long|UAT ACROSS-TRACK BAND NUMBER|Numeric|0|0|4|NA|0|0
022200|meteoFranceLocal022200|double|SIGNIFICANT WAVE HEIGHT (NOTE 1)|M|2|0|13|NA|0|0
022201|meteoFranceLocal022201|double|SPECTRAL PEAK PERIOD|S|1|0|9|NA|0|0
022202|meteoFranceLocal022202|long|SPECTRAL PEAK WAVE LENGTH|M|0|0|13|NA|0|0
022203|meteoFranceLocal022203|double|MAXIMUM WAVE HEIGHT|M|2|0|13|NA|0|0
022204|meteoFranceLocal022204|double|AVERAGE WAVE PERIOD|S|1|0|9|NA|0|0
022205|meteoFranceLocal022205|long|AVERAGE WAVE LENGTH|M|0|0|12|NA|0|0
022206|meteoFranceLocal022206|long|DIRECTION OF DOMINANT WAVE (NOTE 2)|DEGREE TRUE|0|0|9|NA|0|0
022207|meteoFranceLocal022207|long|DIRECTIONNAL SPREAD OF DOMINANT WAVE (NOTE 2)|DEGREE TRUE|0|0|8|NA|0|0
022210|meteoFranceLocal022210|long|DURATION OF WAVE RECORD|S|0|0|12|NA|0|0
022211|meteoFranceLocal022211|long|LENGTH OF WAVE RECORD|M|0|0|16|NA|0|0
022212|meteoFranceLocal022212|double|WAVEBAND CENTRAL FREQUENCY|HZ|3|0|10|NA|0|0
022213|meteoFranceLocal022213|double|WAVEBAND CENTRAL WAVE NUMBER|1/M|5|0|13|NA|0|0
022214|meteoFranceLocal022214|double|MAXIMUM NON-DIRECTIONAL SPECTRAL DENSITY FREQUENCY|M**2/HZ|2|0|20|NA|0|0
022215|meteoFranceLocal022215|double|MAXIMUM NON-DIRECTIONAL SPECTRAL DENSITY WAVE NUMBER|M**3|2|0|20|NA|0|0
022216|meteoFranceLocal022216|long|NUMBER OF THE BAND IN WHICH THE MAXIMUM NON-DIRECTIONAL SPECTRAL DENSITY LIES|Numeric|0|0|7|NA|0|0
022217|meteoFranceLocal022217|long|SPECTRAL DENSITY RATIO|Numeric|0|0|7|NA|0|0
022218|meteoFranceLocal022218|long|MEAN DIRECTION FROM WHICH WAVES ARE COMING|DEGREE TRUE|0|0|9|NA|0|0
022219|meteoFranceLocal022219|long|PRINCIPAL DIRECTION FROM WHICH WAVES ARE COMING (NOTE 3)|DEGREE TRUE|0|0|9|NA|0|0
022220|meteoFranceLocal022220|double|FIRST NORMALISED POLAR CO-ORDINATE DERIVED FROM FOURIER COEFFICIENTS|NUMBER|2|0|7|NA|0|0
022221|meteoFranceLocal022221|double|SECOND NORMALISED POLAR CO-ORDINATE DERIVED FROM FOURIER COEFFICIENTS|NUMBER|2|0|7|NA|0|0
022222|meteoFranceLocal022222|double|NON-DIRECTIONAL SPECTRAL ESTIMATE OF FREQUENCY|M**2/HZ|2|0|20|NA|0|0
022223|meteoFranceLocal022223|double|NON-DIRECTIONAL SPECTRAL ESTIMATE OF WAVE NUMBER|M**3|2|2|20|NA|0|0
022224|meteoFranceLocal022224|double|DIRECTIONAL SPECTRAL ESTIMATE OF FREQUENCY|M**2/HZ/RAD|2|0|20|NA|0|0
022225|meteoFranceLocal022225|double|DIRECTIONAL SPECTRAL ESTIMATE OF WAVE NUMBER|M**4|2|0|20|NA|0|0
022226|meteoFranceLocal022226|long|TOTAL NUMBER OF BANDS|Numeric|0|0|7|NA|0|0
022227|meteoFranceLocal022227|long|DIRECTIONAL SPREAD OF INDIVIDUAL WAVES|DEGREE TRUE|0|0|8|NA|0|0
022228|meteoFranceLocal022228|table|INDICATEUR DE FOND|Code table|0|0|2|NA|0|0
022243|meteoFranceLocal022243|double|STANDARD DEVIATION SIGNIFICANT WAVE HEIGHT|m|2|0|10|NA|0|0
025009|meteoFranceLocal025009|flag|CALIBRATION METHOD|Flag table|0|0|5|NA|0|0
025192|meteoFranceLocal025192|table|METHODE DE COMPOSITION DANS LES ZONES DE RECOUVREMENT|Code table|0|0|8|NA|0|0
025193|meteoFranceLocal025193|double|NUMERO DE VERSION LOGICIELLE DU CALCULATEUR|Numeric|2|0|16|NA|0|0
025194|meteoFranceLocal025194|double|NUMERO DE VERSION DE COMPOSITE|Numeric|2|0|16|NA|0|0
025195|meteoFranceLocal025195|long|NUMERO DE VERSION DE CARTE UTILISEE POUR COMPOSITION|Numeric|0|0|8|NA|0|0
025197|meteoFranceLocal025197|long|NOMBRE D'IMAGES PRISES EN COMPTE|Numeric|0|0|24|NA|0|0
025198|meteoFranceLocal025198|long|NOMBRE DE PORTES PAR TIR|Numeric|0|0|16|NA|0|0
025199|meteoFranceLocal025199|table|METHODE D INTEGRATION DISTANCE|Code Table|0|0|4|NA|0|0
025200|meteoFranceLocal025200|table|METHODE D INTEGRATION AZIMUT|Code Table|0|0|4|NA|0|0
025208|meteoFranceLocal025208|double|SAMPLING INTERVAL (TIME)|S|4|0|15|NA|0|0
025209|meteoFranceLocal025209|double|SAMPLING INTERVAL (SPACE)|M|2|0|12|NA|0|0
030192|meteoFranceLocal030192|table|MODE DE BALAYAGE|Code table|0|0|8|NA|0|0
031031|meteoFranceLocal031031|long|DATA PRESENT INDICATOR|Numeric|0|0|1|NA|0|0
031192|meteoFranceLocal031192|long|FACTEUR SUPER ELARGI DE REPETITION DIFFERE DU DESCRIPTEUR|Numeric|0|0|32|NA|0|0
033192|meteoFranceLocal033192|table|FLAG DE QUALITE SUR PARAMETRE|Code table|0|0|3|NA|0|0
033212|meteoFranceLocal033212|table|QUALITE DE LA MESURE DE PRESSION|Code table|0|0|2|NA|0|0
033213|meteoFranceLocal033213|table|QUALITE DU PARAMETRE TECHNOLOGI QUE(DEUXIEME VARIABLE DU PREMIERBLOC DE DONNEES CAPTEURS DES PLATES-FORMES ARGOS)|Code table|0|0|2|NA|0|0
033214|meteoFranceLocal033214|table|QUALITE DE LA MESURE DE LA TEMPERATURE DE L'EAU EN SURFACE|Code table|0|0|2|NA|0|0
033215|meteoFranceLocal033215|table|VALEUR DE LA MESURE DE LA TEMPERRATURE DE L'AIR|Code table|0|0|2|NA|0|0
033216|meteoFranceLocal033216|table|QUALITE DES TRANSMISSIONS ENTRE LA BOUEE ET LE SATELLITE|Code table|0|0|2|NA|0|0
033217|meteoFranceLocal033217|table|QUALITE DE LA POSITION|Code table|0|0|2|NA|0|0
033218|meteoFranceLocal033218|table|INDICATEUR CONTROLE DE QUALITE  DES DONNEES RELATIVES A LA POSI TION|Code table|0|0|3|NA|0|0
033219|meteoFranceLocal033219|table|INDICATEUR CONTROLE DE QUALITE  DES DONNEES RELATIVES A L'HEURE|Code table|0|0|3|NA|0|0
033220|meteoFranceLocal033220|table|INDICATEUR CONTROLE DE QUALITE  DES DONNEES METEOROLOGIQUES|Code table|0|0|3|NA|0|0
033221|meteoFranceLocal033221|table|INDICATEUR DE POSITION DU GROUPE|Code table|0|0|4|NA|0|0
033222|meteoFranceLocal033222|table|INDICATEUR CONTROLE DE QUALITE  DES DONNEES MARINES|Code table|0|0|3|NA|0|0
033223|meteoFranceLocal033223|table|INDICATEUR DE CONTROLE DE QUALI TE DES DONNEES RELATIVES AUX PROFILS DE TEMPERATURE ET DE SALINITE|Code table|0|0|3|NA|0|0
033224|meteoFranceLocal033224|table|INDICATEUR CONTROLE DE QUALITE  DES DONNEES RELATIVES AUX PRO   FILS DES COURANTS|Code table|0|0|3|NA|0|0
048192|meteoFranceLocal048192|long|BIT DE CALAGE|Numeric|0|0|1|NA|0|0
049192|meteoFranceLocal049192|table|CQ INTEGRITE DU MESSAGE|Code table|0|0|4|NA|0|0
049193|meteoFranceLocal049193|table|CQ ARRET PANNE|Code table|0|0|4|NA|0|0
049194|meteoFranceLocal049194|table|CQ ETALONNAGE|Code table|0|0|4|NA|0|0
049195|meteoFranceLocal049195|table|CQ ELIMINATEUR ECHOS FIXES|Code table|0|0|4|NA|0|0
049196|meteoFranceLocal049196|table|CQ CONTROLE TEMPOREL|Code table|0|0|4|NA|0|0
049197|meteoFranceLocal049197|table|CQ CONTROLE SPATIAL|Code table|0|0|4|NA|0|0
049198|meteoFranceLocal049198|table|CQ CONTROLE DE COHERENCE ECHOS FIXES|Code table|0|0|4|NA|0|0
049199|meteoFranceLocal049199|table|CQ COMPARAISON AVEC LES DONNEES SATELLITAIRES|Code table|0|0|4|NA|0|0
049211|meteoFranceLocal049211|long|CPTQ IMAGES EMISES PAR LE CALCULATEUR RADAR|Numeric|0|0|16|NA|0|0
049212|meteoFranceLocal049212|long|CPTQ IMAGES RECUES PAR LE CONCENTRATEUR|Numeric|0|0|16|NA|0|0
049213|meteoFranceLocal049213|long|CPTQ IMAGES EMISES PAR LE CONCENTRATEUR RADAR|Numeric|0|0|16|NA|0|0
049214|meteoFranceLocal049214|long|CPTQ IMAGES RECUES PAR LE SYSTEME DE DIFFUSION|Numeric|0|0|16|NA|0|0
049215|meteoFranceLocal049215|long|CPTQ IMAGES EMISES PAR LE SYSTEME DE DIFFUSION|Numeric|0|0|16|NA|0|0
049216|meteoFranceLocal049216|long|CPTQ IMAGES RECUES PAR LA MACHINE D'ARCHIVAGE|Numeric|0|0|16|NA|0|0
